;Campos, Vacio CUIL;10/05/1990;M;vacio@test.com;BASIC;A
20-60606060-1;;15/03/1985;F;sinNombre@test.com;PREMIUM;A
20-70707070-9;Vidal, Pedro;;M;pedro@gmail.com;VIP;A
27-80808080-7;Nuñez, Laura;20/06/1992;;laura@test.com;BASIC;A
20-90909090-5;Solo, Han;12/12/1980;M;han@test.com;;A
27-11221122-3;Rey, Leia;05/05/1985;F;leia@test.com;FAMILY;
20-ABC45678-9;CUIL CON LETRAS;10/10/1990;M;letras@test.com;BASIC;A
27-12#45$78-1;CUIL CARACTERES ESPECIALES;15/03/1988;F;especial@test.com;PREMIUM;A
20-12345678-X;DIGITO VERIFICADOR LETRA;20/07/1992;M;digito@test.com;VIP;A
XX-12345678-6;PREFIJO CON LETRAS;25/09/1985;M;prefijo@test.com;BASIC;A
20-12345678-6;García@#$%, Juan!;15/03/1990;M;caracteres@test.com;PREMIUM;A
27-23456789-4;López	Tab	Nombre;22/07/1985;F;tab@test.com;VIP;A
20-34567890-2;Martinez\nSaltoLinea;10/11/1978;M;salto@test.com;BASIC;A
27-45678901-0;Rodriguez, Ana;AB/CD/EFGH;F;fechaLetras@test.com;FAMILY;A
20-56789012-8;Fernandez, Diego;00/00/0000;M;fechaCero@test.com;PREMIUM;A
27-67890123-6;Gonzalez, Patricia;32/13/1988;F;fechaImposible@test.com;BASIC;A
20-78901234-4;Sanchez, Roberto;-5/07/1975;M;fechaNegativa@test.com;VIP;A
27-89012345-2;Perez, Claudia;14/04/1992;X;sexoInvalido@test.com;FAMILY;A
20-11223355-5;Diaz, Marcelo;08/08/1980;1;sexoNumero@test.com;PREMIUM;A
27-22334466-3;Torres, Luciana;19/01/1998;FF;sexoDoble@test.com;BASIC;A
20-33445577-1;Ruiz, Oscar;05/05/1985;M;email con espacios@test.com;VIP;A
27-44556688-9;Mora, Elena;10/10/1990;F;email"comillas"@test.com;BASIC;A
20-55667799-7;Cruz, Sergio;15/03/1988;M;<script>alert@hack.com;PREMIUM;A
27-66778800-5;Vega, Sandra;20/08/1992;F;null@test.com;NULL;A
20-77889911-3;Luna, Ricardo;25/12/1985;M;test@test.com;BASIC;NULL
;;;;;;;
20-88991122-1;Solo Algunos Campos;15/03/1990
27-99002233-9;Incompleto, Registro;22/07/1985;F
20-10203040-7;Casi Completo, Test;10/11/1978;M;casi@test.com
27-20304050-5;Falta Estado, Maria;05/09/1995;F;falta@test.com;PREMIUM
